"Enabled","Ativado"
"Title","Título"
"Environment","Ambiente"
"SSL File","Arquivo SSL"
"New Order Status","Status de Novos Pedidos"
"Max Installments","Núm. máximo de parcelas"
"Min Installment Value","Valor mínimo de parcelas"
"Installment Type","Tipo de parcelamento"
"Cielo Merchant Number","Núm. Cielo"
"Cielo Merchant Key","Chave Cielo"
"Installments Without Interest","Parcelas sem juros"
"Installment Interest (%)","Juros do pedido (%)"
"Auto Capture","Capturar Automaticamente"
"Card Types","Bandeiras de Cartões"
"Installments","Parcelas"
"Interest","Juros"
"Modality","Modalidade"
"Autenticate","Autenticar"
"Card Number","Número do Cartão"
"Verification Code","Código de Segurança"
"Expiration Date","Data de Validade"
"Name on Card","Nome no Cartão"
"Month","Mês"
"Year","Ano"
"Capture","Capturar"
"Consult WebService","Consultar WebService"
"Cancel on Cielo","Cancelar na Cielo"
"Do You really want to cancel this transaction on Cielo?","Você realmente deseja cancelar esta transação na Cielo?"
"Cielo - Capture","Cielo - Caputrar"
"Cielo - Cancel","Cielo - Cancelar"
"Cielo - Consult WebService","Cielo - Consultar WebService"